net sales,inventory,% curr assets,net profit,emp costs
1861.65,234.01,42.00,252.92,108.30
2946.50,203.42,22.00,419.13,132.38
1504.16,,,1326.80,
1615.29,,,1276.79,4.82
1718.86,,,1140.65,10.84
586.69,74.12,29.48,66.28,109.77
104.82,26.18,68.28,34.92,8.63
50.70,6.79,27.93,1.66,7.56
30.47,10.93,49.82,-2.78,0.38
6025.67,1212.63,53.50,81.72,376.47
2840.90,535.70,41.83,407.70,262.50
2685.70,878.10,48.78,237.60,321.20
2251.50,699.20,58.40,185.47,199.37
5611.67,750.44,63.94,461.03,253.54
2304.18,381.68,55.51,111.23,177.88
2116.64,441.40,44.42,126.23,82.28
394.09,43.85,39.47,24.10,40.45
198.76,39.51,41.72,11.78,13.75
2788.57,,,149.52,197.35
2252.81,,,26.47,221.85
1468.16,3.45,23.73,-8.50,9.96
6.43,1.10,26.32,0.25,0.99
