Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets",,Company Name,"Net Sales
(Rs. cr)",Inventory,"% of Curr.
Assets","Net Profit
(Rs. cr)","Employee
Costs","% of Net
Sales","Total
Assets"
Hero Motocorp,"33,650.54",,,"3,384.87","1,730.24",5.14,,,,,,,,,,
BHEL,"30,348.95","8,113.49",29.37,"1,215.39","6,261.27",20.63,,,,,,,,,,
Bajaj Auto,"30,249.96",,,"4,675.18","1,255.40",4.15,"19,852.81",,,,,,,,,
Yes Bank,"29,624.75",,,,"2,469.77",8.34,"313,950.95",,,,,,,,,
Ashok Leyland,"29,054.95","2,684.67",40.90,"1,983.20","2,098.77",7.22,,,,,,,,,,
MMTC Ltd,"28,979.44",,,,,,,,,,,,,,,
Power Finance,"28,842.00",,,"6,952.92",,,"331,711.65",,,,,,,,,
Interglobe Avi,"28,496.77",,,,"3,137.79",11.01,,,,,,,,,,
Jindal Steel,"27,715.97","3,893.18",79.49,,,,"36,772.36",,,,,,,,,
Tech Mahindra,"27,219.60",,,"4,380.40","8,444.00",31.02,,,,,,,,,,
HCL Tech,"26,012.00",,,"8,185.00","8,079.00",31.06,"26,514.00",,,,,,,,,
REC,"25,309.72",,,"5,763.72",,,"258,070.84",,,,,,,,,
Kotak Mahindra,"23,943.21",,,"3,902.94","3,183.61",13.30,"267,392.46",,,,,,,,,
Jet Airways,"23,286.53",,,,"2,995.35",12.86,,,,,,,,,,
Central Bank,"22,638.57",,,,"3,565.22",15.75,"269,657.91",,,,,,,,,
IndusInd Bank,"22,261.15",,,,"1,853.51",8.33,"238,425.26",,,,,,,,,
IDBI Bank,"22,071.24",,,,"2,191.20",9.93,"238,080.71",,,,,,,,,
Hind Zinc,"21,118.00","1,544.00",87.58,"7,956.00",,,"33,909.00",,,,,,,,,
Tata Steel BSL,"20,891.60","4,581.88",80.62,"1,713.09",,,"33,385.35",,,,,,,,,
Grasim,"20,550.43","2,931.66",45.39,,"1,529.00",7.44,"43,694.01",,,,,,,,,
Future Retail,"20,164.90","5,065.59",89.90,,"1,074.41",5.33,,,,,,,,,,
Avenue Supermar,"19,916.25","1,576.22",84.50,,,,,,,,,,,,,
Hindustan Aeron,"19,894.12","19,764.51",58.45,"2,282.44","4,295.17",21.59,,,,,,,,,,
Indian Bank,"19,184.81",,,,"2,222.87",11.59,"243,752.40",,,,,,,,,
Titan Company,"19,069.97","6,719.18",83.17,"1,374.36",,,,,,,,,,,,
TVS Motor,"18,209.92",,,,922.63,5.07,,,,,,,,,,
IOB,"17,631.26",,,,"2,646.85",15.01,"197,899.28",,,,,,,,,
Bajaj Finance,"17,383.97",,,"3,890.34","1,721.17",9.90,"105,415.97",,,,,,,,,
LIC Housing Fin,"17,355.02",,,"2,430.97",,,"186,614.74",,,,,,,,,
Redington,"16,851.21","1,532.97",37.99,,,,,,,,,,,,,
Asian Paints,"16,391.78","2,585.10",64.67,"2,134.76",,,,,,,,,,,,
MRF,"15,837.00","2,950.93",54.93,"1,096.87","1,144.28",7.23,,,,,,,,,,
ACC,"15,656.65",,,"1,358.91",,,,,,,,,,,,
Adani Enterpris,"15,541.30","1,901.88",26.23,,,,,,,,,,,,,
Shriram Trans,"15,522.44",,,"2,563.99",,,"103,441.84",,,,,,,,,
